"Variable","Topic_Number","Subtopic","Subtopic_Number","EditFlag","Description","Instrument_Variable_Name","Imputation_Strategy","table_name","Availability","Survey Year","Topic","Updated Universe","Disclosure","User Notes","Question","Variable_Number","TYPE","Present_in_Survey_Years","Associated Response Codes"
"FRSTRM3","9","Payment Change","3","NA","3rd mortgage changes number of years principal and interest remained the same",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,"How many years did your principal and interest payments remain fixed?",30,"Numeric","2013;2011",". or -9: Not reported||0: Mortgage less than a year old||1:40: 1-40||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"INSPM","9","Payment Change","3","NA","1st mortgage payment changed because property taxes or home owner insurance changed",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,31,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"INSPM2","9","Payment Change","3","NA","2nd mortgage payment changed because property taxes or home owner insurance changed",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,32,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"INSPM3","9","Payment Change","3","NA","3rd mortgage payment changed because property taxes or home owner insurance changed",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,33,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"PMTINC","9","Payment Change","3","NA","1st mortgage payment increased or decreased",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,34,"Character","2013;2011","1: Increased||2: Decreased||B or -6: Not applicable||Blank or -9: Not reported"
"PMTINC2","9","Payment Change","3","NA","2nd mortgage payment increased or decreased",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,35,"Character","2013;2011","1: Increased||2: Decreased||B or -6: Not applicable||Blank or -9: Not reported"
"PMTINC3","9","Payment Change","3","NA","3rd mortgage payment increased or decreased",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,36,"Character","2013;2011","1: Increased||2: Decreased||B or -6: Not applicable||Blank or -9: Not reported"
"SHOCK","9","Payment Change","3","NA","1st mortgage payment change increase difficult to afford",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,37,"Character","2013;2011","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"SHOCK2","9","Payment Change","3","NA","2nd mortgage payment change increase difficult to afford",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,38,"Character","2013;2011","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"SHOCK3","9","Payment Change","3","NA","3rd mortgage payment change increase difficult to afford",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,39,"Character","2013;2011","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"TIMBOM","9","Payment Change","3","NA","1st mortgage changes due to 'payment option'",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,"How do they change?",40,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"TIMBOM2","9","Payment Change","3","NA","2nd mortgage changes due to 'payment option'",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,"How do they change?",41,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"TIMBOM3","9","Payment Change","3","NA","3rd mortgage changes due to 'payment option'",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,"How do they change?",42,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"VARM","9","Payment Change","3","NA","1st mortgage changes for other reason",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","How do they change?",43,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"VARM2","9","Payment Change","3","NA","2nd mortgage changes for other reason",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","How do they change?",44,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"VARM3","9","Payment Change","3","NA","3rd mortgage changes for other reason",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,"How do they change?",45,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"REFI","9","Refinance","4","JREFI","Flag indicating mortgage is a refinance of previous mortgage","REFI","Coming soon","MORTGAGE","PUF","2017;2015;2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details","MGTYPE <> '2'","None",,"Did this mortgage refinance a previous mortgage?",1,"Character","2017;2015;2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Yes||2: No||M or -9 (2015 and later) | Blank or -9 (2013 and earlier): Not reported||M or -9 (2015 and later) | D or -7 (2013 and earlier): Not reported (2015 and later) | Don't Know (2013 and earlier)||M or -9 (2015 and later) | R or -8 (2013 and earlier): Not reported (2015 and later) | Refused (2013 and earlier)||N or -6 (2015 and later) | B or -6 (2013 and earlier): Not applicable"
"REFICSHAMT","9","Refinance","4","JREFICSHAMT","Amount of cash received from refinance","CASH","Coming soon","MORTGAGE","IUF Only","2017;2015","Mortgage Details","REFICSH = '1'","Withheld",,"When you refinanced for this mortgage or loan, how much cash did you receive?",2,"Numeric","2017;2015","1 : 999997: $1 to $999,997||999998: $999,998 or more||M or -9: Not reported||N or -6: Not applicable"
"REFILWINT","9","Refinance","4","JREFILWINT","Flag indicating mortgage refinanced to get a lower interest rate","REFNREAS","Coming soon","MORTGAGE","IUF Only","2017;2015","Mortgage Details","REFI = '1'","Withheld","Starting in 2015, these answer categories for REFNREAS were randomized in the Instrument.","I am now going to read you a list of reasons people give for refinancing. Please tell me if any of these reasons apply to you. (Mark all that apply)",3,"Character","2017;2015","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable"
"REFILWPAY","9","Refinance","4","JREFILWPAY","Flag indicating mortgage refinanced to reduce the monthly payment","REFNREAS","Coming soon","MORTGAGE","IUF Only","2017;2015","Mortgage Details","REFI = '1'","Withheld","Starting in 2015, these answer categories for REFNREAS were randomized in the Instrument.","I am now going to read you a list of reasons people give for refinancing. Please tell me if any of these reasons apply to you. (Mark all that apply)",4,"Character","2017;2015","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable"
"REFILWPER","9","Refinance","4","JREFILWPER","Flag indicating mortgage refinanced to reduce the payment period","REFNREAS","Coming soon","MORTGAGE","IUF Only","2017;2015","Mortgage Details","REFI = '1'","Withheld","Starting in 2015, these answer categories for REFNREAS were randomized in the Instrument.","I am now going to read you a list of reasons people give for refinancing. Please tell me if any of these reasons apply to you. (Mark all that apply)",5,"Character","2017;2015","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable"
"REFIINCPER","9","Refinance","4","JREFIINCPER","Flag indicating mortgage refinanced to increase the payment period","REFNREAS","Coming soon","MORTGAGE","IUF Only","2017;2015","Mortgage Details","REFI = '1'","Withheld","Starting in 2015, these answer categories for REFNREAS were randomized in the Instrument.","I am now going to read you a list of reasons people give for refinancing. Please tell me if any of these reasons apply to you. (Mark all that apply)",6,"Character","2017;2015","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable"
"REFICSH","9","Refinance","4","JREFICSH","Flag indicating mortgage refinanced to receive cash or increase the outstanding balance of the loan","REFNREAS","Coming soon","MORTGAGE","IUF Only","2017;2015","Mortgage Details","REFI = '1'","Withheld","Starting in 2015, these answer categories for REFNREAS were randomized in the Instrument.","I am now going to read you a list of reasons people give for refinancing. Please tell me if any of these reasons apply to you. (Mark all that apply)",7,"Character","2017;2015","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable"
"REFIEXTLN","9","Refinance","4","JREFIEXTLN","Flag indicating mortgage refinanced for the option to suspend or temporarily reduce mortgage payments","REFNREAS","Coming soon","MORTGAGE","IUF Only","2017;2015","Mortgage Details","REFI = '1'","Withheld","Starting in 2015, these answer categories for REFNREAS were randomized in the Instrument.","I am now going to read you a list of reasons people give for refinancing. Please tell me if any of these reasons apply to you. (Mark all that apply)",8,"Character","2017;2015","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable"
"REFIOTH","9","Refinance","4","JREFIOTH","Flag indicating mortgage refinanced for some other reason","REFNREAS","Coming soon","MORTGAGE","IUF Only","2017;2015","Mortgage Details","REFI = '1'","Withheld",,"I am now going to read you a list of reasons people give for refinancing. Please tell me if any of these reasons apply to you. (Mark all that apply)",9,"Character","2017;2015","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable"
"REFI2","9","Refinance","4","JREFI2","Mortgage a refinancing of previous mortgage",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,,,10,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"REFI3","9","Refinance","4","NA","Mortgage a refinancing of previous mortgage",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,11,"Character","2013;2011","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"CASH","9","Refinance","4","NA","Amount of cash received from 1st mortgage",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"Topcoded at the 97th percentile.",,12,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001",". or -9: Not reported||1:999998: $1-999,998||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"CASH2","9","Refinance","4","NA","Amount of cash received from 2nd mortgage",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"Topcoded at the 97th percentile.",,13,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001",". or -9: Not reported||1:999998: $1-999,998||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"CASH3","9","Refinance","4","NA","Amount of cash received from 3rd mortgage",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,"Topcoded at the 97th percentile.",,14,"Numeric","2013;2011",". or -9: Not reported||1:999998: $1-999,998||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"LOWINT","9","Refinance","4","NA","1st mortgage refinanced to get lower interest rate",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).",,15,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"LOWIN2","9","Refinance","4","NA","2nd mortgage refinanced to get lower interest rate",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).",,16,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"LOWIN3","9","Refinance","4","NA","3rd mortgage refinanced to get lower interest rate",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,17,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"REDMON","9","Refinance","4","NA","Refinanced to reduce monthly payment of 1st loan",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","What were the reasons for refinancing of the mortgage?",18,"Character","2013;2011;2009;2007;2005","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"REDMO2","9","Refinance","4","NA","Refinanced to reduce monthly payment of 2nd loan",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).","What were the reasons for refinancing of the mortgage?",19,"Character","2013;2011;2009;2007","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"REDMO3","9","Refinance","4","NA","Refinanced to reduce monthly payment of 3rd loan",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,"What were the reasons for refinancing of the mortgage?",20,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"REDPAY","9","Refinance","4","NA","Refinanced to reduce repayment period of 1st loan",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).",,21,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"REDPA2","9","Refinance","4","NA","Refinanced to reduce repayment period of 2nd loan",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).",,22,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"REDPA3","9","Refinance","4","NA","Refinanced to reduce repayment period of 3rd loan",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,23,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"INCPER","9","Refinance","4","NA","1st mortgage refinanced to increase payment period",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).",,24,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"INCPR2","9","Refinance","4","NA","2nd mortgage refinanced to increase payment period",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).",,25,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"INCPR3","9","Refinance","4","NA","3rd mortgage refinanced to increase payment period",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,26,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"GTCASH","9","Refinance","4","JTCASH","1st mortgage refinanced to receive cash",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"Edit flag variable JTCASH added in 2011. In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).",,27,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported"
"GTCAS2","9","Refinance","4","JTCAS2","2nd mortgage refinanced to receive cash",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"Edit flag variable JTCAS2 added in 2011. In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).",,28,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported"
"GTCAS3","9","Refinance","4","JTCAS3","3rd mortgage refinanced to receive cash",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,"Edit flag variable JTCAS3 added in 2011.",,29,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported"
"EXTLON","9","Refinance","4","NA","1st mortgage refinanced to renew/extend loan due",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).",,30,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"EXTLN2","9","Refinance","4","NA","2nd mortgage refinanced to renew/extend loan due",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).",,31,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"EXTLN3","9","Refinance","4","NA","3rd mortgage refinanced to renew/extend loan due",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,32,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"OTHREF","9","Refinance","4","NA","1st mortgage refinanced for other reason",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).",,33,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"OTREF2","9","Refinance","4","NA","2nd mortgage refinanced for other reason",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,"In 2011, the response codes changed from 'X' (positive response) to '1' (checked) and '2' (not checked).",,34,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"OTREF3","9","Refinance","4","NA","3rd mortgage refinanced for other reason",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,,35,"Character","2013;2011","1: Checked response||2: Did not check response||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"LNFNBR","9","Refinance","4","NA","Refinance solicitation of 1st mortgage",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,"Did you select this refinanced loan because of a solicitation?",36,"Character","2013;2011","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"LNFNBR2","9","Refinance","4","NA","Refinance solicitation of 2nd mortgage",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,"Did you select this refinanced loan because of a solicitation?",37,"Character","2013;2011","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"LNFNBR3","9","Refinance","4","NA","Refinance solicitation of 3rd mortgage",,"Coming Soon","MORTG","PUF","2013;2011","Mortgage Details",,,,"Did you select this refinanced loan because of a solicitation?",38,"Character","2013;2011","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HELOCLIM","9","HELOC","5","JHELOCLIM","Amount of credit limit on home equity loan","HECR","Coming soon","MORTGAGE","IUF Only","2017;2015","Mortgage Details","LOANTYPE = '3'","Withheld",,"What is your total credit limit on the line of credit for the mortgage or loan?",1,"Numeric","2017;2015","1 : 9999997: $1 to $9,999,997||9999998: $9,999,998 or more||M or -9: Not reported||N or -6: Not applicable"
"HELOCBAL","9","HELOC","5","JHELOCBAL","Flag indicating home equity loan has a current balance","HEBAL","Coming soon","MORTGAGE","IUF Only","2017;2015","Mortgage Details","LOANTYPE = '3'","Withheld",,"Do you now have an outstanding loan borrowed against the line of credit for the mortgage or loan?",2,"Character","2017;2015","1: Yes||2: No||N or -6: Not applicable"
"HELOCADD","9","HELOC","5","JHELOCADD","Flag indicating home equity loan used for additions, improvements, or repairs","IMPROV","Coming soon","MORTGAGE","IUF Only","2017;2015","Mortgage Details","HELOCBAL in ('1' 'M')","Withheld",,"Did you use any of the funds from your mortgage or loan for additions, improvements, or repairs to this home?",3,"Character","2017;2015","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable"
"HECR1","9","HELOC","5","JHECR1","Credit limit on 1st home equity loan",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"Prior to 2011: For the National Survey, the variable is topcoded using VALUE's topcode. For the Metro Survey, the variable is topcoded using VALUE's topcode or its own 97th percentile topcode, whichever is lower. 2011 and after: Topcoded at the 97th percentile. However, the following variables must not sum to more than the topcode for the variable VALUE: AMMORT, AMMRT2, AMMRT3, AMMRT4, HEBAM1, HEBAM2, HEBAM3, HECR1, HECR2, HECR3. If the sum of these variables does exceed the topcode for VALUE, the variables are changed to ensure the sum is less than or equal to the topcode for VALUE. HECR3 is uncommon, possible that there are no cases in the data. Prior to 2009, the maximum recorded value was $999,997.","What is your total credit limit on your 1st home equity loan?",4,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997",". or -9: Not reported||1:9999997: $1-9,999,997||9999998: $9,999,998 or more||B or -6: Not applicable"
"HECR2","9","HELOC","5","JHECR1","Credit limit on 2nd home equity loan",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"Prior to 2011: For the National Survey, the variable is topcoded using VALUE's topcode. For the Metro Survey, the variable is topcoded using VALUE's topcode or its own 97th percentile topcode, whichever is lower. 2011 and after: Topcoded at the 97th percentile. However, the following variables must not sum to more than the topcode for the variable VALUE: AMMORT, AMMRT2, AMMRT3, AMMRT4, HEBAM1, HEBAM2, HEBAM3, HECR1, HECR2, HECR3. If the sum of these variables does exceed the topcode for VALUE, the variables are changed to ensure the sum is less than or equal to the topcode for VALUE. HECR3 is uncommon, possible that there are no cases in the data. Prior to 2009, the maximum recorded value was $999,997.","What is your total credit limit on your 2nd home equity loan?",5,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997",". or -9: Not reported||1:9999997: $1-9,999,997||9999998: $9,999,998 or more||B or -6: Not applicable"
"HECR3","9","HELOC","5","JHECR1","Credit limit on 3rd home equity loan",,"Coming Soon","MORTG","PUF","2013;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"Prior to 2011: For the National Survey, the variable is topcoded using VALUE's topcode. For the Metro Survey, the variable is topcoded using VALUE's topcode or its own 97th percentile topcode, whichever is lower. 2011 and after: Topcoded at the 97th percentile. However, the following variables must not sum to more than the topcode for the variable VALUE: AMMORT, AMMRT2, AMMRT3, AMMRT4, HEBAM1, HEBAM2, HEBAM3, HECR1, HECR2, HECR3. If the sum of these variables does exceed the topcode for VALUE, the variables are changed to ensure the sum is less than or equal to the topcode for VALUE. HECR3 is uncommon, possible that there are no cases in the data. Prior to 2009, the maximum recorded value was $999,997.","What is your total credit limit on your 3rd home equity loan?",6,"Numeric","2013;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997",". or -9: Not reported||1:9999997: $1-9,999,997||9999998: $9,999,998 or more||B or -6: Not applicable"
"HEBAL1","9","HELOC","5","NA","Outstanding loan against 1st home equity loan",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,,"Do you now have an outstanding loan borrowed against the home equity loan?",7,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported"
"HEBAL2","9","HELOC","5","NA","Outstanding loan against 2nd home equity loan",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,,"Do you now have an outstanding loan borrowed against the home equity loan?",8,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported"
"HEBAL3","9","HELOC","5","NA","Outstanding loan against 3rd home equity loan",,"Coming Soon","MORTG","PUF","2013;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"Uncommon, possible that there are no cases in the data.","Do you now have an outstanding loan borrowed against the home equity loan?",9,"Character","2013;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported"
"IMPROV","9","HELOC","5","NA","1st home equity loan used for additions/improvements",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,,,10,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"IMPRV2","9","HELOC","5","NA","2nd home equity loan used for additions/improvements",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001","Mortgage Details",,,,,11,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"IMPRV3","9","HELOC","5","NA","3rd home equity loan used for additions/improvements",,"Coming Soon","MORTG","PUF","2013","Mortgage Details",,,"IMPRV3 is uncommon; possible that there are no cases in the data.",,12,"Character","2013","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HEBAM1","9","HELOC","5","NA","Outstanding balance on 1st home equity loan",,"Coming Soon","MORTG","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997","Mortgage Details",,,"Prior to 2011: For the National Survey, the variable is topcoded using VALUE's topcode. For the Metro Survey, the variable is topcoded using VALUE's topcode or its own 97th percentile topcode, whichever is lower. 2011 and after: Topcoded at the 97th percentile. However, the following variables must not sum to more than the topcode for the variable VALUE: AMMORT, AMMRT2, AMMRT3, AMMRT4, HEBAM1, HEBAM2, HEBAM3, HECR1, HECR2, HECR3. If the sum of these variables does exceed the topcode for VALUE, the variables are changed to ensure the sum is less than or equal to the topcode for VALUE. HEBAM3 is uncommon; possible that there are no cases in the data. Prior to 2009, the maximum recorded value was $999,997.","What is your current (outstanding) balance on the home equity loan?",13,"Numeric","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1998;1997",". or -9: Not reported||1:9999997: $1-9,999,997||9999998: $9,999,998 or more||B or -6: Not applicable"
